S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-02-01-Li\ME_EXBN\2.9FFX_Jet     4.50e-08   1023.2   9.14e-06
020-02-01-Li\ME_EXBN\2.9FFO_Jet     1.07e-06   1023.2   1.02e-05
020-02-03-Lo\ME_EXBN\14.5DFX_Jet    1.39e-10    977.1   1.02e-05
020-02-03-Lo\ME_EXBN\14.5DFO_Jet    2.76e-10    977.1   1.02e-05
020-02-03-Lo\ME_EXBN\7.7DFX_Jet     1.48e-09    977.1   1.02e-05
020-02-03-Lo\ME_EXBN\7.7DFO_Jet     2.95e-09    977.1   1.02e-05
020-02-03-Lo\ME_EXBN\2.9FFX_Jet     1.53e-09    977.1   1.02e-05
020-02-03-Lo\ME_EXBN\2.9FFO_Jet     3.05e-09    977.1   1.02e-05
020-05-01-G\ME_EXBO\7.7DFO_Jet      6.11e-09    976.4   1.02e-05
020-02-02-G\LM_EXBX\2.9FFX_Jet      1.25e-08    939.7   1.02e-05
020-02-02-G\LM_EXBX\2.9FFO_Jet      1.19e-11    939.7   1.02e-05
020-01-01-G\LM_EXBX\14.5DFX_Jet     8.39e-10    931.6   1.02e-05
020-01-01-G\LM_EXBX\14.5DFO_Jet     8.34e-12    931.6   1.02e-05
020-05-01-G\ME_EOBX\14.5DFO_Jet     5.45e-11    931.5   1.02e-05
020-01-01-G\LM_EXBX\7.7DFX_Jet      8.98e-09    911.5   1.03e-05
020-01-01-G\LM_EXBX\7.7DFO_Jet      8.93e-11    911.5   1.03e-05
020-01-01-G\LM_EXBX\2.9FFX_Jet      9.26e-09    894.8   1.03e-05
020-01-01-G\LM_EXBX\2.9FFO_Jet      9.22e-11    894.8   1.03e-05
020-02-03-Lo\LM_EXBN\14.5DFX_Jet    8.47e-11    888.4   1.03e-05
020-02-03-Lo\LM_EXBN\14.5DFO_Jet    1.68e-10    888.4   1.03e-05
020-02-03-Lo\LM_EXBN\7.7DFX_Jet     9.06e-10    888.4   1.03e-05
020-02-03-Lo\LM_EXBN\7.7DFO_Jet     1.80e-09    888.4   1.03e-05
020-02-03-Lo\LM_EXBN\2.9FFX_Jet     9.35e-10    888.4   1.03e-05
020-02-03-Lo\LM_EXBN\2.9FFO_Jet     1.86e-09    888.4   1.03e-05
020-05-01-G\ME_EOBX\7.7DFO_Jet      5.83e-10    874.3   1.03e-05
020-02-03-Lo\ME_EOBN\14.5DFO_Jet    2.73e-08    850.1   1.03e-05
020-02-03-Lo\ME_EOBN\7.7DFO_Jet     2.92e-07    850.1   1.06e-05
020-02-03-Lo\ME_EOBN\2.9FFO_Jet     3.02e-07    850.1   1.09e-05
020-01-01-G\SM_EXBX\14.5DFX_Jet     1.52e-08    844.4   1.09e-05
020-01-01-G\SM_EXBX\14.5DFO_Jet     6.83e-12    844.4   1.09e-05
020-02-01-Li\LM_EXBN\14.5DFX_Jet    2.21e-09    837.2   1.09e-05
020-02-01-Li\LM_EXBN\14.5DFO_Jet    5.28e-08    837.2   1.10e-05
020-02-01-Li\LM_EXBN\7.7DFX_Jet     2.37e-08    837.2   1.10e-05
020-02-01-Li\LM_EXBN\7.7DFO_Jet     5.65e-07    837.2   1.16e-05
020-02-01-Li\LM_EXBN\2.9FFX_Jet     2.44e-08    837.2   1.16e-05
020-02-01-Li\LM_EXBN\2.9FFO_Jet     5.83e-07    837.2   1.22e-05
020-02-02-G\LM_EOBX\2.9FFO_Jet      1.18e-09    836.3   1.22e-05
020-01-01-G\LM_EXBO\14.5DFO_Jet     1.66e-09    824.8   1.22e-05
020-01-01-G\LM_EXBO\7.7DFO_Jet      1.78e-08    808.0   1.22e-05
020-05-01-G\ME_EXBO\2.9FFO_Jet      6.30e-09    799.6   1.22e-05
