P04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-02-G-DB\LM_EOBX\14.5DFO_Jet     3.64e-10    413.8   3.89e-05
024-02-G-DA\LM_EOBX\14.5DFO_Jet     1.09e-09    413.8   3.89e-05
024-03-01-G\LM_EXBO\7.7DFO_Jet      3.44e-08    396.5   3.90e-05
025-02-01-G\LM_EOBO\14.5DFO_Jet     3.61e-07    394.7   3.93e-05
024-03-01-G\LM_EOBO\14.5DFO_Jet     1.04e-07    394.6   3.94e-05
024-02-G-DC\LM_EOBO\14.5DFO_Jet     7.24e-08    394.1   3.95e-05
024-02-G-DB\LM_EOBO\14.5DFO_Jet     7.24e-08    394.1   3.96e-05
024-02-G-DA\LM_EOBO\14.5DFO_Jet     2.17e-07    394.1   3.98e-05
024-03-01-G\LM_EXBX\2.9FFX_Jet      5.98e-09    393.1   3.98e-05
024-03-01-G\LM_EXBX\2.9FFO_Jet      1.79e-10    393.1   3.98e-05
025-02-01-G\LM_EOBX\7.7DFO_Jet      1.94e-08    387.7   3.98e-05
024-03-01-G\LM_EOBX\7.7DFO_Jet      5.59e-09    382.2   3.98e-05
024-02-G-DC\LM_EOBX\7.7DFO_Jet      3.89e-09    381.2   3.98e-05
024-02-G-DB\LM_EOBX\7.7DFO_Jet      3.89e-09    381.2   3.98e-05
024-02-G-DA\LM_EOBX\7.7DFO_Jet      1.17e-08    381.2   3.99e-05
025-01-01-G\ME_EOBO\2.9FFO_Jet      3.55e-06    381.1   4.34e-05
024-03-01-G\LM_EXBO\2.9FFO_Jet      3.55e-08    374.8   4.34e-05
025-02-01-G\LM_EOBO\7.7DFO_Jet      3.86e-06    370.2   4.73e-05
025-02-01-G\LM_EOBX\2.9FFO_Jet      2.00e-08    368.5   4.73e-05
024-03-01-G\LM_EOBO\7.7DFO_Jet      1.11e-06    364.7   4.84e-05
024-02-G-DC\LM_EOBO\7.7DFO_Jet      7.75e-07    364.0   4.92e-05
